Diet Group,Sex,Age Group,Mean Acid,Mean Bio,Mean Eut,Mean Ghgs,Mean Ghgs Ch4,Mean Ghgs N2O,Mean Land,Mean Watscar,Mean Watuse
Low meat,female,60-69,28.45374074,440.825373,21.98146367,6.688202469,1.348015042,0.381292346,10.64471829,20043.87696,641.436653
Low meat,female,70-79,28.43137048,416.7225015,22.03090144,6.68472549,1.301865482,0.376213924,10.41591249,20078.28404,623.2143557
Low meat,male,20-29,27.52944007,314.3818978,20.83088131,6.146124205,1.101759462,0.386874268,9.150619941,20002.32388,616.3797443
Low meat,male,30-39,27.97701567,346.0168931,21.30586178,6.288440408,1.150162221,0.36999835,9.126825675,21313.8431,655.7624566
Low meat,male,40-49,28.01199184,343.2901107,21.06152577,6.306779398,1.142228006,0.358773789,9.432166476,19638.80566,620.4748664
Low meat,male,50-59,28.32921302,391.795807,21.66539474,6.511721029,1.24225299,0.375982018,10.17976591,19500.09202,626.345326
Low meat,male,60-69,28.4972253,368.1801869,22.1454148,6.531251446,1.209140122,0.379572536,10.37136293,19350.54598,608.4112276
Low meat,male,70-79,29.39451413,440.2044121,23.16377182,6.994890763,1.36925661,0.390424256,11.0204361,18939.21516,621.6028954
High meat,female,20-29,48.77256544,603.1285713,36.01013127,12.70727906,2.173025967,0.956266707,27.91083876,22607.13795,775.9461417
High meat,female,30-39,49.62897814,614.5170482,36.09587003,13.05181003,2.186016552,0.962942197,29.17337586,23920.22771,790.4141699
High meat,female,40-49,53.08804972,648.748782,37.54823254,14.37054778,2.350650542,1.05902259,33.94827977,23180.15728,759.1423783
High meat,female,50-59,54.71832255,706.7254801,38.47733818,15.04817408,2.490999396,1.085624055,35.90653843,23393.81715,771.9133542
High meat,female,60-69,54.51260357,684.5256575,38.22167508,14.91750193,2.469215546,1.07606653,35.51923946,23506.21412,759.8173008
High meat,female,70-79,56.88043596,687.9282612,39.39390154,15.59259448,2.566972905,1.120856438,37.04317397,24126.21124,762.0083588
High meat,male,20-29,58.06431821,618.0234061,43.17067271,14.77855009,2.54874207,1.170773814,31.91245515,26953.23536,881.0641164
High meat,male,30-39,52.25534313,556.0483838,39.48369789,13.4666149,2.210176451,1.033092181,29.66850862,24433.75047,794.581612
High meat,male,40-49,54.00214687,591.2509569,39.56771831,14.21357999,2.325238572,1.064441781,32.51084885,23256.60148,755.6537032
High meat,male,50-59,54.89767465,583.3225071,39.49696948,14.43076628,2.352021123,1.071238208,33.56624076,24438.37238,770.170402
